Crsytal with exposed surface: 001 and interactomic distance: 1.12246

1565 atoms
1 atom types
-24.69416506280686 24.694165062805553 xlo xhi
-24.69416506280745 24.694165062804963 ylo yhi
0.0 23.035585990235727 zlo zhi

Atoms

0 1000000 1 4.489848 15.714469 6.081841 0 0 0
0 1000000 1 5.612310 15.714469 6.383946 0 0 0
0 1000000 1 6.734772 15.714469 6.759980 0 0 0
0 1000000 1 7.857234 15.714469 7.214631 0 0 0
0 1000000 1 8.979696 15.714469 7.754116 0 0 0
0 1000000 1 10.102158 15.714469 8.386696 0 0 0
0 1000000 1 11.224620 15.714469 9.123496 0 0 0
0 1000000 1 12.347083 15.714469 9.979846 0 0 0
0 1000000 1 13.469545 15.714469 10.977631 0 0 0
0 1000000 1 14.592007 15.714469 12.149754 0 0 0
0 1000000 1 15.714469 15.714469 13.549631 0 0 0
0 1000000 1 16.836931 15.714469 15.275123 0 0 0
0 1000000 1 17.959393 15.714469 17.549115 0 0 0
0 1000000 1 19.081855 15.714469 21.266598 0 0 0
0 1000000 1 -17.959393 16.836931 20.643628 0 0 0
0 1000000 1 -16.836931 16.836931 17.381895 0 0 0
0 1000000 1 -15.714469 16.836931 15.275123 0 0 0
0 1000000 1 -14.592007 16.836931 13.660198 0 0 0
0 1000000 1 -13.469545 16.836931 12.347367 0 0 0
0 1000000 1 -12.347083 16.836931 11.249825 0 0 0
0 1000000 1 -11.224620 16.836931 10.319208 0 0 0
0 1000000 1 -10.102158 16.836931 9.525370 0 0 0
0 1000000 1 -8.979696 16.836931 8.848133 0 0 0
0 1000000 1 -7.857234 16.836931 8.273326 0 0 0
0 1000000 1 -6.734772 16.836931 7.790683 0 0 0
0 1000000 1 -5.612310 16.836931 7.392623 0 0 0
0 1000000 1 -4.489848 16.836931 7.073510 0 0 0
0 1000000 1 -3.367386 16.836931 6.829186 0 0 0
0 1000000 1 -2.244924 16.836931 6.656661 0 0 0
0 1000000 1 -1.122462 16.836931 6.553921 0 0 0
0 1000000 1 -0.000000 16.836931 6.519801 0 0 0
0 1000000 1 1.122462 16.836931 6.553921 0 0 0
0 1000000 1 2.244924 16.836931 6.656661 0 0 0
0 1000000 1 3.367386 16.836931 6.829186 0 0 0
0 1000000 1 4.489848 16.836931 7.073510 0 0 0
0 1000000 1 5.612310 16.836931 7.392623 0 0 0
0 1000000 1 6.734772 16.836931 7.790683 0 0 0
0 1000000 1 7.857234 16.836931 8.273326 0 0 0
0 1000000 1 8.979696 16.836931 8.848133 0 0 0
0 1000000 1 10.102158 16.836931 9.525370 0 0 0
0 1000000 1 11.224620 16.836931 10.319208 0 0 0
0 1000000 1 12.347083 16.836931 11.249825 0 0 0
0 1000000 1 13.469545 16.836931 12.347367 0 0 0
0 1000000 1 14.592007 16.836931 13.660198 0 0 0
0 1000000 1 15.714469 16.836931 15.275123 0 0 0
0 1000000 1 16.836931 16.836931 17.381895 0 0 0
0 1000000 1 17.959393 16.836931 20.643628 0 0 0
0 1000000 1 -16.836931 17.959393 20.643628 0 0 0
0 1000000 1 -15.714469 17.959393 17.549115 0 0 0
0 1000000 1 -14.592007 17.959393 15.537783 0 0 0
0 1000000 1 -13.469545 17.959393 13.998565 0 0 0
0 1000000 1 -12.347083 17.959393 12.752153 0 0 0
0 1000000 1 -11.224620 17.959393 11.715870 0 0 0
0 1000000 1 -10.102158 17.959393 10.843496 0 0 0
0 1000000 1 -8.979696 17.959393 10.106200 0 0 0
0 1000000 1 -7.857234 17.959393 9.484715 0 0 0
0 1000000 1 -6.734772 17.959393 8.965567 0 0 0
0 1000000 1 -5.612310 17.959393 8.539071 0 0 0
0 1000000 1 -4.489848 17.959393 8.198171 0 0 0
0 1000000 1 -3.367386 17.959393 7.937734 0 0 0
0 1000000 1 -2.244924 17.959393 7.754116 0 0 0
0 1000000 1 -1.122462 17.959393 7.644877 0 0 0
0 1000000 1 -0.000000 17.959393 7.608617 0 0 0
0 1000000 1 1.122462 17.959393 7.644877 0 0 0
0 1000000 1 2.244924 17.959393 7.754116 0 0 0
0 1000000 1 3.367386 17.959393 7.937734 0 0 0
0 1000000 1 4.489848 17.959393 8.198171 0 0 0
0 1000000 1 5.612310 17.959393 8.539071 0 0 0
0 1000000 1 6.734772 17.959393 8.965567 0 0 0
0 1000000 1 7.857234 17.959393 9.484715 0 0 0
0 1000000 1 8.979696 17.959393 10.106200 0 0 0
0 1000000 1 10.102158 17.959393 10.843496 0 0 0
0 1000000 1 11.224620 17.959393 11.715870 0 0 0
0 1000000 1 12.347083 17.959393 12.752153 0 0 0
0 1000000 1 13.469545 17.959393 13.998565 0 0 0
0 1000000 1 14.592007 17.959393 15.537783 0 0 0
0 1000000 1 15.714469 17.959393 17.549115 0 0 0
0 1000000 1 16.836931 17.959393 20.643628 0 0 0
0 1000000 1 -15.714469 19.081855 21.266598 0 0 0
0 1000000 1 -14.592007 19.081855 18.074961 0 0 0
0 1000000 1 -13.469545 19.081855 16.086292 0 0 0
0 1000000 1 -12.347083 19.081855 14.586914 0 0 0
0 1000000 1 -11.224620 19.081855 13.385754 0 0 0
0 1000000 1 -10.102158 19.081855 12.397254 0 0 0
0 1000000 1 -8.979696 19.081855 11.574358 0 0 0
0 1000000 1 -7.857234 19.081855 10.888066 0 0 0
0 1000000 1 -6.734772 19.081855 10.319208 0 0 0
0 1000000 1 -5.612310 19.081855 9.854546 0 0 0
0 1000000 1 -4.489848 19.081855 9.484715 0 0 0
0 1000000 1 -3.367386 19.081855 9.203053 0 0 0
0 1000000 1 -2.244924 19.081855 9.004903 0 0 0
0 1000000 1 -1.122462 19.081855 8.887182 0 0 0
0 1000000 1 -0.000000 19.081855 8.848133 0 0 0
0 1000000 1 1.122462 19.081855 8.887182 0 0 0
0 1000000 1 2.244924 19.081855 9.004903 0 0 0
0 1000000 1 3.367386 19.081855 9.203053 0 0 0
0 1000000 1 4.489848 19.081855 9.484715 0 0 0
0 1000000 1 5.612310 19.081855 9.854546 0 0 0
0 1000000 1 6.734772 19.081855 10.319208 0 0 0
0 1000000 1 7.857234 19.081855 10.888066 0 0 0
0 1000000 1 8.979696 19.081855 11.574358 0 0 0
0 1000000 1 10.102158 19.081855 12.397254 0 0 0
0 1000000 1 11.224620 19.081855 13.385754 0 0 0
0 1000000 1 12.347083 19.081855 14.586914 0 0 0
0 1000000 1 13.469545 19.081855 16.086292 0 0 0
0 1000000 1 14.592007 19.081855 18.074961 0 0 0
0 1000000 1 15.714469 19.081855 21.266598 0 0 0
0 1000000 1 -14.592007 20.204317 23.035586 0 0 0
0 1000000 1 -13.469545 20.204317 19.053829 0 0 0
0 1000000 1 -12.347083 20.204317 16.979082 0 0 0
0 1000000 1 -11.224620 20.204317 15.471439 0 0 0
0 1000000 1 -10.102158 20.204317 14.288699 0 0 0
0 1000000 1 -8.979696 20.204317 13.331640 0 0 0
0 1000000 1 -7.857234 20.204317 12.548115 0 0 0
0 1000000 1 -6.734772 20.204317 11.906932 0 0 0
0 1000000 1 -5.612310 20.204317 11.387963 0 0 0
0 1000000 1 -4.489848 20.204317 10.977631 0 0 0
0 1000000 1 -3.367386 20.204317 10.666602 0 0 0
0 1000000 1 -2.244924 20.204317 10.448509 0 0 0
0 1000000 1 -1.122462 20.204317 10.319208 0 0 0
0 1000000 1 -0.000000 20.204317 10.276360 0 0 0
0 1000000 1 1.122462 20.204317 10.319208 0 0 0
0 1000000 1 2.244924 20.204317 10.448509 0 0 0
0 1000000 1 3.367386 20.204317 10.666602 0 0 0
0 1000000 1 4.489848 20.204317 10.977631 0 0 0
0 1000000 1 5.612310 20.204317 11.387963 0 0 0
0 1000000 1 6.734772 20.204317 11.906932 0 0 0
0 1000000 1 7.857234 20.204317 12.548115 0 0 0
0 1000000 1 8.979696 20.204317 13.331640 0 0 0
0 1000000 1 10.102158 20.204317 14.288699 0 0 0
0 1000000 1 11.224620 20.204317 15.471439 0 0 0
0 1000000 1 12.347083 20.204317 16.979082 0 0 0
0 1000000 1 13.469545 20.204317 19.053829 0 0 0
0 1000000 1 14.592007 20.204317 23.035586 0 0 0
0 1000000 1 -12.347083 21.326779 20.790718 0 0 0
0 1000000 1 -11.224620 21.326779 18.353467 0 0 0
0 1000000 1 -10.102158 21.326779 16.746825 0 0 0
0 1000000 1 -8.979696 21.326779 15.537783 0 0 0
0 1000000 1 -7.857234 21.326779 14.586914 0 0 0
0 1000000 1 -6.734772 21.326779 13.828100 0 0 0
0 1000000 1 -5.612310 21.326779 13.224157 0 0 0
0 1000000 1 -4.489848 21.326779 12.752153 0 0 0
0 1000000 1 -3.367386 21.326779 12.397254 0 0 0
0 1000000 1 -2.244924 21.326779 12.149754 0 0 0
0 1000000 1 -1.122462 21.326779 12.003517 0 0 0
0 1000000 1 -0.000000 21.326779 11.955135 0 0 0
0 1000000 1 1.122462 21.326779 12.003517 0 0 0
0 1000000 1 2.244924 21.326779 12.149754 0 0 0
0 1000000 1 3.367386 21.326779 12.397254 0 0 0
0 1000000 1 4.489848 21.326779 12.752153 0 0 0
0 1000000 1 5.612310 21.326779 13.224157 0 0 0
0 1000000 1 6.734772 21.326779 13.828100 0 0 0
0 1000000 1 7.857234 21.326779 14.586914 0 0 0
0 1000000 1 8.979696 21.326779 15.537783 0 0 0
0 1000000 1 10.102158 21.326779 16.746825 0 0 0
0 1000000 1 11.224620 21.326779 18.353467 0 0 0
0 1000000 1 12.347083 21.326779 20.790718 0 0 0
0 1000000 1 -10.102158 22.449241 20.643628 0 0 0
0 1000000 1 -8.979696 22.449241 18.644165 0 0 0
0 1000000 1 -7.857234 22.449241 17.299646 0 0 0
0 1000000 1 -6.734772 22.449241 16.300895 0 0 0
0 1000000 1 -5.612310 22.449241 15.537783 0 0 0
0 1000000 1 -4.489848 22.449241 14.956453 0 0 0
0 1000000 1 -3.367386 22.449241 14.526591 0 0 0
0 1000000 1 -2.244924 22.449241 14.230047 0 0 0
0 1000000 1 -1.122462 22.449241 14.055976 0 0 0
0 1000000 1 -0.000000 22.449241 13.998565 0 0 0
0 1000000 1 1.122462 22.449241 14.055976 0 0 0
0 1000000 1 2.244924 22.449241 14.230047 0 0 0
0 1000000 1 3.367386 22.449241 14.526591 0 0 0
0 1000000 1 4.489848 22.449241 14.956453 0 0 0
0 1000000 1 5.612310 22.449241 15.537783 0 0 0
0 1000000 1 6.734772 22.449241 16.300895 0 0 0
0 1000000 1 7.857234 22.449241 17.299646 0 0 0
0 1000000 1 8.979696 22.449241 18.644165 0 0 0
0 1000000 1 10.102158 22.449241 20.643628 0 0 0
0 1000000 1 -7.857234 23.571703 22.236183 0 0 0
0 1000000 1 -6.734772 23.571703 20.099219 0 0 0
0 1000000 1 -5.612310 23.571703 18.845588 0 0 0
0 1000000 1 -4.489848 23.571703 17.984583 0 0 0
0 1000000 1 -3.367386 23.571703 17.381895 0 0 0
0 1000000 1 -2.244924 23.571703 16.979082 0 0 0
0 1000000 1 -1.122462 23.571703 16.746825 0 0 0
0 1000000 1 -0.000000 23.571703 16.670845 0 0 0
0 1000000 1 1.122462 23.571703 16.746825 0 0 0
0 1000000 1 2.244924 23.571703 16.979082 0 0 0
0 1000000 1 3.367386 23.571703 17.381895 0 0 0
0 1000000 1 4.489848 23.571703 17.984583 0 0 0
0 1000000 1 5.612310 23.571703 18.845588 0 0 0
0 1000000 1 6.734772 23.571703 20.099219 0 0 0
0 1000000 1 7.857234 23.571703 22.236183 0 0 0
0 1000000 1 -3.367386 24.694165 23.035586 0 0 0
0 1000000 1 -2.244924 24.694165 21.812755 0 0 0
0 1000000 1 -1.122462 24.694165 21.266598 0 0 0
0 1000000 1 -0.000000 24.694165 21.101512 0 0 0
0 1000000 1 1.122462 24.694165 21.266598 0 0 0
0 1000000 1 2.244924 24.694165 21.812755 0 0 0
0 1000000 1 3.367386 24.694165 23.035586 0 0 0

Velocities

0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
0 0.000000 0.000000 0.000000
